post_id,service_cible,texte_clean,langue,canal,region,sentiment_score,sentiment_label,categorie,date_post
POST_5ab94d02b5,FREE_MONEY,free money dafa baax mais support dafa teye,WO,FACEBOOK,KAOLACK,0.092,NEUTRE,TECHNIQUE,2026-05-06
POST_579434346f,SEN_EAU,pas depuis jours sen eau répond pas,FR,RECLAMATION,SAINT_LOUIS,-0.053,NEGATIF,AUTRE,2026-05-18
POST_91d69aeea4,FREE_MONEY,free money simple pratique pour les petites sommes,FR,RECLAMATION,KAOLACK,0.707,POSITIF,POSITIF,2026-05-14
POST_921f4e8023,SENELEC,senelec problem dafa metti,WO,TWITTER,SAINT_LOUIS,-0.671,NEGATIF_FORT,AUTRE,2026-05-05
POST_62d137b7c9,FREE_MONEY,free money simple pratique pour les petites sommes,FR,WHATSAPP,THIES,0.66,POSITIF,POSITIF,2026-05-08
POST_99212315dc,WAVE,wave excellent recommande tous,FR,FACEBOOK,KAOLACK,0.183,NEUTRE,TECHNIQUE,2026-05-19
POST_c4c899878f,TER,ter ponctuel voyage confortable,FR,FACEBOOK,DAKAR,-0.007,NEGATIF,AUTRE,2026-05-16
POST_c4c4b78b55,TER,ter retard encore infos temps réel impossible,FR,TWITTER,SAINT_LOUIS,-0.577,NEGATIF_FORT,AUTRE,2026-05-12
POST_fefc2f67c6,SEN_EAU,facture sen eau anormalement élevée,FR,RECLAMATION,SAINT_LOUIS,-0.081,NEGATIF,AUTRE,2026-05-25
POST_2150b5b3b6,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,RECLAMATION,ZIGUINCHOR,-0.769,NEGATIF_FORT,SERVICE_CLIENT,2026-05-16
POST_9032646943,SEN_EAU,facture sen eau anormalement élevée,FR,RECLAMATION,ZIGUINCHOR,0.095,NEUTRE,AUTRE,2026-05-12
POST_4c47806379,FREE_MONEY,free money problem duma gënn,WO,FACEBOOK,SAINT_LOUIS,-0.528,NEGATIF_FORT,AUTRE,2026-05-06
POST_4f34859bbc,SEN_EAU,sen eau service client attente interminable,FR,RECLAMATION,THIES,0.074,NEUTRE,SERVICE_CLIENT,2026-05-19
POST_1d9f0dabe9,FREE_MONEY,free money problem duma gënn,WO,TWITTER,KAOLACK,-0.673,NEGATIF_FORT,AUTRE,2026-05-14
POST_79feda446a,TER,ter ponctuel voyage confortable,FR,TWITTER,DAKAR,-0.004,NEGATIF,AUTRE,2026-05-08
POST_fcd85dc540,FREE_MONEY,free money simple pratique pour les petites sommes,FR,RECLAMATION,KAOLACK,0.813,POSITIF,POSITIF,2026-05-04
POST_8d1a9be885,TER,ter dafa rafet,WO,RECLAMATION,SAINT_LOUIS,0.856,POSITIF,POSITIF,2026-05-27
POST_b73fa705d7,WAVE,wave dafa dafa yomb,WO,TWITTER,THIES,0.752,POSITIF,POSITIF,2026-05-07
POST_c8fd917eca,ORANGE_MONEY,les frais cachés orange,FR,TWITTER,SAINT_LOUIS,-0.92,NEGATIF_FORT,TARIF,2026-05-10
POST_1bc37a872c,ORANGE_MONEY,orange money dafa problem nekkul,WO,RECLAMATION,DAKAR,-0.693,NEGATIF_FORT,TECHNIQUE,2026-05-15
POST_c24e8c4d6f,SENELEC,application senelec bien paiement facile maintenant,FR,TWITTER,ZIGUINCHOR,0.703,POSITIF,POSITIF,2026-05-20
POST_addfbb201a,ORANGE_MONEY,orange money fiable pour les transferts internationaux,FR,FACEBOOK,DAKAR,0.769,POSITIF,POSITIF,2026-05-22
POST_6f072aca89,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,TWITTER,ZIGUINCHOR,-0.745,NEGATIF_FORT,SERVICE_CLIENT,2026-05-30
POST_2db478587a,TER,ter pratique rapide entre dakar top,FR,TWITTER,KAOLACK,0.729,POSITIF,POSITIF,2026-05-02
POST_66c36eb7c1,SEN_EAU,facture sen eau anormalement élevée,FR,RECLAMATION,THIES,-0.053,NEGATIF,AUTRE,2026-05-02
POST_c2ec7797e3,WAVE,wave dafa dafa yomb,WO,FACEBOOK,ZIGUINCHOR,0.863,POSITIF,POSITIF,2026-05-03
POST_766e6429ad,WAVE,transaction wave argent débité sans confirmation,FR,WHATSAPP,KAOLACK,-0.094,NEGATIF,AUTRE,2026-05-07
POST_afa697d4f4,SENELEC,coupure électrique pendant senelec scandaleux,FR,RECLAMATION,KAOLACK,-0.768,NEGATIF_FORT,AUTRE,2026-05-21
POST_b0a72e22f9,ORANGE_MONEY,orange money encore panne inacceptable,FR,WHATSAPP,THIES,-0.856,NEGATIF_FORT,TECHNIQUE,2026-05-25
POST_d5e72a1fe6,FREE_MONEY,free money lent par rapport améliorer,FR,TWITTER,DAKAR,-0.546,NEGATIF_FORT,TECHNIQUE,2026-05-30
POST_43991f7313,ORANGE_MONEY,orange money dafa problem nekkul,WO,FACEBOOK,ZIGUINCHOR,-0.799,NEGATIF_FORT,TECHNIQUE,2026-05-05
POST_7d5a1a6492,ORANGE_MONEY,orange money fiable pour les transferts internationaux,FR,RECLAMATION,DAKAR,0.853,POSITIF,POSITIF,2026-05-05
POST_808f8530ee,ORANGE_MONEY,les frais cachés orange,FR,FACEBOOK,THIES,-0.939,NEGATIF_FORT,TARIF,2026-05-02
POST_375ae0c8a2,SEN_EAU,sen eau service client attente interminable,FR,RECLAMATION,SAINT_LOUIS,-0.031,NEGATIF,SERVICE_CLIENT,2026-05-26
POST_1cdb320ce1,TER,ter retard encore infos temps réel impossible,FR,WHATSAPP,ZIGUINCHOR,-0.733,NEGATIF_FORT,AUTRE,2026-05-05
POST_41c2af0c13,FREE_MONEY,free money problem duma gënn,WO,TWITTER,KAOLACK,-0.682,NEGATIF_FORT,AUTRE,2026-05-04
POST_b2eec3d4bb,WAVE,wave the best mobile money service fast and reliable,EN,TWITTER,DAKAR,0.637,POSITIF,POSITIF,2026-05-11
POST_7d2a703be5,FREE_MONEY,free money dafa baax mais support dafa teye,WO,TWITTER,DAKAR,0.09,NEUTRE,TECHNIQUE,2026-05-29
POST_ad7df6635d,ORANGE_MONEY,orange money encore panne inacceptable,FR,TWITTER,SAINT_LOUIS,-0.745,NEGATIF_FORT,TECHNIQUE,2026-05-15
POST_8e118ebdc5,SEN_EAU,sen eau service client attente interminable,FR,RECLAMATION,SAINT_LOUIS,0.055,NEUTRE,SERVICE_CLIENT,2026-05-15
POST_e3f5fd1db8,TER,ter ponctuel voyage confortable,FR,FACEBOOK,DAKAR,-0.012,NEGATIF,AUTRE,2026-05-27
POST_1471ac48ef,WAVE,wave remboursé top,FR,WHATSAPP,DAKAR,0.889,POSITIF,POSITIF,2026-05-25
POST_f116476989,SEN_EAU,sen eau pression faible depuis une scandaleux,FR,FACEBOOK,SAINT_LOUIS,-0.83,NEGATIF_FORT,AUTRE,2026-05-16
POST_11b93b9cfe,SENELEC,senelec problem dafa metti,WO,RECLAMATION,DAKAR,-0.575,NEGATIF_FORT,AUTRE,2026-05-23
POST_27c3a42fa0,TER,ter ponctuel voyage confortable,FR,RECLAMATION,ZIGUINCHOR,-0.049,NEGATIF,AUTRE,2026-05-15
POST_bd9ba6a5a5,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,TWITTER,ZIGUINCHOR,-0.575,NEGATIF_FORT,AUTRE,2026-05-29
POST_92c973c318,SEN_EAU,facture sen eau anormalement élevée,FR,WHATSAPP,THIES,0.007,NEUTRE,AUTRE,2026-05-20
POST_3cb6432e1d,WAVE,wave excellent recommande tous,FR,WHATSAPP,SAINT_LOUIS,0.145,NEUTRE,TECHNIQUE,2026-05-05
POST_f71651a22e,SEN_EAU,sen eau problem dafa neka,WO,WHATSAPP,DAKAR,-0.731,NEGATIF_FORT,AUTRE,2026-05-03
POST_cf6c89fdad,WAVE,wave the best mobile money service fast and reliable,EN,FACEBOOK,DAKAR,0.635,POSITIF,POSITIF,2026-05-05
POST_8cc67d57ae,WAVE,frais wave trop cher orange money moins cher,FR,TWITTER,DAKAR,-0.669,NEGATIF_FORT,TARIF,2026-05-20
POST_efbd9bff4d,TER,ter retard encore infos temps réel impossible,FR,RECLAMATION,DAKAR,-0.695,NEGATIF_FORT,AUTRE,2026-05-24
POST_9bca0fd6d1,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,TWITTER,ZIGUINCHOR,0.723,POSITIF,POSITIF,2026-05-18
POST_ad27d61e3c,TER,ter dafa rafet,WO,WHATSAPP,DAKAR,0.815,POSITIF,POSITIF,2026-05-27
POST_d118e66add,FREE_MONEY,free money nouveau encore beaucoup bugs,FR,WHATSAPP,THIES,-0.501,NEGATIF_FORT,TECHNIQUE,2026-05-05
POST_cd486d4b53,SENELEC,senelec problem dafa metti,WO,TWITTER,SAINT_LOUIS,-0.62,NEGATIF_FORT,AUTRE,2026-05-23
POST_b570a42400,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,TWITTER,SAINT_LOUIS,-0.751,NEGATIF_FORT,SERVICE_CLIENT,2026-05-08
POST_e7015454eb,WAVE,encore une fois wave inadmissible,FR,FACEBOOK,KAOLACK,-0.797,NEGATIF_FORT,TECHNIQUE,2026-05-27
POST_7bb3623957,ORANGE_MONEY,orange money compte bloqué sans scandaleux,FR,FACEBOOK,ZIGUINCHOR,-0.817,NEGATIF_FORT,TECHNIQUE,2026-05-17
POST_118322dec8,SENELEC,facture senelec frais anormaux mois,FR,RECLAMATION,DAKAR,-0.062,NEGATIF,TARIF,2026-05-06
POST_688295caf5,FREE_MONEY,free money nouveau encore beaucoup bugs,FR,RECLAMATION,THIES,-0.646,NEGATIF_FORT,TECHNIQUE,2026-05-28
POST_002d383cbb,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,WHATSAPP,ZIGUINCHOR,-0.58,NEGATIF_FORT,AUTRE,2026-05-08
POST_8081d9d174,SENELEC,application senelec bien paiement facile maintenant,FR,RECLAMATION,SAINT_LOUIS,0.74,POSITIF,POSITIF,2026-05-02
POST_7d56a8d3e7,TER,ter retard encore infos temps réel impossible,FR,FACEBOOK,THIES,-0.621,NEGATIF_FORT,AUTRE,2026-05-04
POST_d19a038e72,WAVE,wave excellent recommande tous,FR,FACEBOOK,SAINT_LOUIS,0.154,NEUTRE,TECHNIQUE,2026-05-10
POST_d4f1f2ae99,SENELEC,coupure senelec depuis quand que revient,FR,RECLAMATION,DAKAR,0.027,NEUTRE,AUTRE,2026-05-24
POST_88175ea0c0,TER,ter retard encore infos temps réel impossible,FR,WHATSAPP,THIES,-0.669,NEGATIF_FORT,AUTRE,2026-05-08
POST_2a1cad6ecf,SEN_EAU,est revenue après sen eau enfin réactif,FR,TWITTER,SAINT_LOUIS,-0.082,NEGATIF,AUTRE,2026-05-23
POST_035c753fe8,FREE_MONEY,free money lent par rapport améliorer,FR,FACEBOOK,THIES,-0.558,NEGATIF_FORT,TECHNIQUE,2026-05-25
POST_ed865f1e1c,ORANGE_MONEY,les frais cachés orange,FR,RECLAMATION,THIES,-0.814,NEGATIF_FORT,TARIF,2026-05-11
POST_78221f7933,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,TWITTER,THIES,-0.605,NEGATIF_FORT,SERVICE_CLIENT,2026-05-04
POST_0a97edb403,WAVE,frais wave trop cher orange money moins cher,FR,FACEBOOK,DAKAR,-0.651,NEGATIF_FORT,TARIF,2026-05-07
POST_38d0418603,WAVE,wave excellent recommande tous,FR,FACEBOOK,THIES,0.206,NEUTRE,TECHNIQUE,2026-05-15
POST_866a11c806,FREE_MONEY,free money simple pratique pour les petites sommes,FR,RECLAMATION,ZIGUINCHOR,0.783,POSITIF,POSITIF,2026-05-04
POST_f4b8ad5d1b,TER,ter dafa rafet,WO,RECLAMATION,ZIGUINCHOR,0.901,POSITIF,POSITIF,2026-05-06
POST_326ebe24fc,TER,ter pratique rapide entre dakar top,FR,FACEBOOK,KAOLACK,0.688,POSITIF,POSITIF,2026-05-11
POST_1032c21493,TER,ter retard encore infos temps réel impossible,FR,RECLAMATION,SAINT_LOUIS,-0.595,NEGATIF_FORT,AUTRE,2026-05-29
POST_d3d1a22fe5,SEN_EAU,sen eau problem dafa neka,WO,RECLAMATION,SAINT_LOUIS,-0.695,NEGATIF_FORT,AUTRE,2026-05-20
POST_917bfec41f,FREE_MONEY,free money dafa baax mais support dafa teye,WO,FACEBOOK,THIES,0.039,NEUTRE,TECHNIQUE,2026-05-24
POST_e08e3d4ee9,TER,ter retard encore infos temps réel impossible,FR,WHATSAPP,KAOLACK,-0.587,NEGATIF_FORT,AUTRE,2026-05-25
POST_306d881ba0,WAVE,transaction wave argent débité sans confirmation,FR,FACEBOOK,DAKAR,-0.058,NEGATIF,AUTRE,2026-05-22
POST_7b566e71dc,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,FACEBOOK,DAKAR,-0.644,NEGATIF_FORT,AUTRE,2026-05-18
POST_9ce22b9c46,WAVE,wave dafa dafa yomb,WO,RECLAMATION,THIES,0.943,POSITIF,POSITIF,2026-05-20
POST_e15f36c9b5,WAVE,frais wave trop cher orange money moins cher,FR,RECLAMATION,THIES,-0.81,NEGATIF_FORT,TARIF,2026-05-13
POST_5ca0d7095e,TER,ter retard encore infos temps réel impossible,FR,TWITTER,SAINT_LOUIS,-0.649,NEGATIF_FORT,AUTRE,2026-05-02
POST_1ba5ddc663,FREE_MONEY,free money dafa baax mais support dafa teye,WO,WHATSAPP,SAINT_LOUIS,0.059,NEUTRE,TECHNIQUE,2026-05-10
POST_6fc293cfd4,TER,ter dafa rafet,WO,TWITTER,KAOLACK,0.855,POSITIF,POSITIF,2026-05-09
POST_3cd1ee0a79,SENELEC,senelec dafa xam dina tax,WO,RECLAMATION,DAKAR,-0.808,NEGATIF_FORT,TECHNIQUE,2026-05-27
POST_579ef6547b,TER,ter bondé aux heures prévoir extension nécessaire,FR,WHATSAPP,SAINT_LOUIS,-0.032,NEGATIF,AUTRE,2026-05-13
POST_8525e732a4,FREE_MONEY,free money simple pratique pour les petites sommes,FR,WHATSAPP,ZIGUINCHOR,0.68,POSITIF,POSITIF,2026-05-10
POST_740d9aad43,ORANGE_MONEY,orange money compte bloqué sans scandaleux,FR,TWITTER,THIES,-0.83,NEGATIF_FORT,TECHNIQUE,2026-05-12
POST_74e479792b,TER,ter bondé aux heures prévoir extension nécessaire,FR,FACEBOOK,ZIGUINCHOR,0.029,NEUTRE,AUTRE,2026-05-16
POST_98ba68a4ec,WAVE,wave rapide meilleur service mobile money sénégal,FR,TWITTER,KAOLACK,0.638,POSITIF,POSITIF,2026-05-25
POST_83c75e0e3a,ORANGE_MONEY,orange money fraud lost money this morning,EN,TWITTER,ZIGUINCHOR,-0.886,NEGATIF_FORT,FRAUDE,2026-05-04
POST_3381631e03,ORANGE_MONEY,orange money fraud lost money this morning,EN,FACEBOOK,THIES,-0.999,NEGATIF_FORT,FRAUDE,2026-05-05
POST_f923fa1437,SENELEC,senelec problem dafa metti,WO,RECLAMATION,SAINT_LOUIS,-0.593,NEGATIF_FORT,AUTRE,2026-05-02
POST_b05af31a9e,FREE_MONEY,free money problem duma gënn,WO,RECLAMATION,ZIGUINCHOR,-0.64,NEGATIF_FORT,AUTRE,2026-05-04
POST_c488a6375d,SENELEC,coupure senelec depuis quand que revient,FR,WHATSAPP,ZIGUINCHOR,-0.077,NEGATIF,AUTRE,2026-05-13
POST_f7256d0322,SEN_EAU,sen eau service client attente interminable,FR,RECLAMATION,KAOLACK,0.033,NEUTRE,SERVICE_CLIENT,2026-05-10
POST_89a62ba3b4,SEN_EAU,facture sen eau anormalement élevée,FR,TWITTER,SAINT_LOUIS,-0.076,NEGATIF,AUTRE,2026-05-02
POST_9ab027086e,ORANGE_MONEY,les frais cachés orange,FR,TWITTER,THIES,-0.96,NEGATIF_FORT,TARIF,2026-05-29
POST_1f44dbe906,WAVE,transaction wave argent débité sans confirmation,FR,WHATSAPP,SAINT_LOUIS,0.08,NEUTRE,AUTRE,2026-05-05
POST_fdd775ad84,TER,ter dafa rafet,WO,WHATSAPP,KAOLACK,0.801,POSITIF,POSITIF,2026-05-09
POST_bfb5571a31,TER,application ter bug impossible ticket,FR,TWITTER,SAINT_LOUIS,-0.707,NEGATIF_FORT,TECHNIQUE,2026-05-06
POST_31260ff4fc,ORANGE_MONEY,orange money fraud lost money this morning,EN,WHATSAPP,DAKAR,-0.918,NEGATIF_FORT,FRAUDE,2026-05-06
POST_7bfe6bf1f8,SENELEC,senelec problem dafa metti,WO,WHATSAPP,SAINT_LOUIS,-0.771,NEGATIF_FORT,AUTRE,2026-05-22
POST_178030ff80,TER,ter dafa rafet,WO,RECLAMATION,ZIGUINCHOR,0.769,POSITIF,POSITIF,2026-05-02
POST_805d107889,WAVE,wave rapide meilleur service mobile money sénégal,FR,RECLAMATION,DAKAR,0.814,POSITIF,POSITIF,2026-05-21
POST_60dea9cb73,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,WHATSAPP,DAKAR,-0.63,NEGATIF_FORT,SERVICE_CLIENT,2026-05-07
POST_fd2267e71e,TER,ter ponctuel voyage confortable,FR,FACEBOOK,KAOLACK,-0.013,NEGATIF,AUTRE,2026-05-20
POST_2d75f97e02,SEN_EAU,est revenue après sen eau enfin réactif,FR,RECLAMATION,ZIGUINCHOR,-0.075,NEGATIF,AUTRE,2026-05-22
POST_34e44b7522,WAVE,wave dafa duma gënn xaalis,WO,TWITTER,DAKAR,-0.848,NEGATIF_FORT,TECHNIQUE,2026-05-12
POST_afedb3c78a,SEN_EAU,est revenue après sen eau enfin réactif,FR,FACEBOOK,SAINT_LOUIS,0.055,NEUTRE,AUTRE,2026-05-08
POST_3040c9bc7b,ORANGE_MONEY,orange money fiable pour les transferts internationaux,FR,WHATSAPP,KAOLACK,0.889,POSITIF,POSITIF,2026-05-20
POST_07cb8bb9af,SEN_EAU,facture sen eau anormalement élevée,FR,WHATSAPP,KAOLACK,-0.059,NEGATIF,AUTRE,2026-05-19
POST_6e20be1260,WAVE,frais wave trop cher orange money moins cher,FR,FACEBOOK,THIES,-0.706,NEGATIF_FORT,TARIF,2026-05-13
POST_0b40f4aa80,SEN_EAU,facture sen eau anormalement élevée,FR,FACEBOOK,SAINT_LOUIS,0.063,NEUTRE,AUTRE,2026-05-23
POST_c1a581f369,SENELEC,senelec dafa xam dina tax,WO,WHATSAPP,THIES,-0.809,NEGATIF_FORT,TECHNIQUE,2026-05-12
POST_34a6b4d254,SENELEC,facture senelec frais anormaux mois,FR,TWITTER,ZIGUINCHOR,0.009,NEUTRE,TARIF,2026-05-28
POST_6b9f05380b,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,FACEBOOK,SAINT_LOUIS,-0.686,NEGATIF_FORT,SERVICE_CLIENT,2026-05-28
POST_a910ddb146,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,WHATSAPP,SAINT_LOUIS,-0.682,NEGATIF_FORT,SERVICE_CLIENT,2026-05-10
POST_c2ccb78553,ORANGE_MONEY,orange money dafa problem nekkul,WO,RECLAMATION,KAOLACK,-0.738,NEGATIF_FORT,TECHNIQUE,2026-05-08
POST_d2d5aec105,ORANGE_MONEY,orange money compte bloqué sans scandaleux,FR,WHATSAPP,THIES,-0.703,NEGATIF_FORT,TECHNIQUE,2026-05-07
POST_64118f1521,WAVE,wave rapide meilleur service mobile money sénégal,FR,TWITTER,THIES,0.795,POSITIF,POSITIF,2026-05-08
POST_41e4b12641,ORANGE_MONEY,orange money fraud lost money this morning,EN,TWITTER,KAOLACK,-0.918,NEGATIF_FORT,FRAUDE,2026-05-18
POST_815ebfe3a4,WAVE,wave dafa duma gënn xaalis,WO,WHATSAPP,DAKAR,-0.855,NEGATIF_FORT,TECHNIQUE,2026-05-20
POST_2c121b01dd,ORANGE_MONEY,orange money encore panne inacceptable,FR,FACEBOOK,SAINT_LOUIS,-0.89,NEGATIF_FORT,TECHNIQUE,2026-05-14
POST_6a6e6a43a6,FREE_MONEY,free money nouveau encore beaucoup bugs,FR,RECLAMATION,DAKAR,-0.565,NEGATIF_FORT,TECHNIQUE,2026-05-08
POST_8466f8f00d,FREE_MONEY,free money problem duma gënn,WO,FACEBOOK,SAINT_LOUIS,-0.665,NEGATIF_FORT,AUTRE,2026-05-13
POST_8de5b4991b,TER,ter retard encore infos temps réel impossible,FR,WHATSAPP,ZIGUINCHOR,-0.67,NEGATIF_FORT,AUTRE,2026-05-22
POST_f8c87323dd,SENELEC,coupure électrique pendant senelec scandaleux,FR,TWITTER,THIES,-0.799,NEGATIF_FORT,AUTRE,2026-05-25
POST_f5ec29f102,WAVE,wave excellent recommande tous,FR,FACEBOOK,THIES,0.225,NEUTRE,TECHNIQUE,2026-05-14
POST_d7b82f88c1,FREE_MONEY,free money simple pratique pour les petites sommes,FR,FACEBOOK,SAINT_LOUIS,0.763,POSITIF,POSITIF,2026-05-20
POST_bb4c553241,WAVE,wave dafa dafa yomb,WO,FACEBOOK,SAINT_LOUIS,0.897,POSITIF,POSITIF,2026-05-12
POST_729d6b1cc1,FREE_MONEY,compte free money bloqué sans explication support,FR,WHATSAPP,ZIGUINCHOR,-0.667,NEGATIF_FORT,TECHNIQUE,2026-05-03
POST_339f91b6cc,SENELEC,senelec problem dafa metti,WO,TWITTER,SAINT_LOUIS,-0.588,NEGATIF_FORT,AUTRE,2026-05-26
POST_665000b1cd,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,WHATSAPP,DAKAR,-0.628,NEGATIF_FORT,AUTRE,2026-05-04
POST_9bf40169d4,FREE_MONEY,free money simple pratique pour les petites sommes,FR,RECLAMATION,DAKAR,0.724,POSITIF,POSITIF,2026-05-19
POST_cd6094a75d,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,RECLAMATION,THIES,-0.746,NEGATIF_FORT,SERVICE_CLIENT,2026-05-17
POST_b52a87390e,ORANGE_MONEY,les frais cachés orange,FR,FACEBOOK,KAOLACK,-0.959,NEGATIF_FORT,TARIF,2026-05-21
POST_7016caeea1,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,WHATSAPP,ZIGUINCHOR,-0.618,NEGATIF_FORT,AUTRE,2026-05-20
POST_d30b087988,SEN_EAU,sen eau service client attente interminable,FR,RECLAMATION,DAKAR,-0.06,NEGATIF,SERVICE_CLIENT,2026-05-22
POST_28a4c22c69,SENELEC,coupure senelec depuis quand que revient,FR,FACEBOOK,ZIGUINCHOR,-0.019,NEGATIF,AUTRE,2026-05-15
POST_7d9175ba14,WAVE,transaction wave argent débité sans confirmation,FR,TWITTER,KAOLACK,0.063,NEUTRE,AUTRE,2026-05-15
POST_341a7f6a9c,WAVE,mon transfert wave est bloqué depuis impossible joindre support,FR,WHATSAPP,THIES,-0.599,NEGATIF_FORT,SERVICE_CLIENT,2026-05-24
POST_35cf973b29,TER,ter pratique rapide entre dakar top,FR,WHATSAPP,ZIGUINCHOR,0.724,POSITIF,POSITIF,2026-05-02
POST_4c62118be6,ORANGE_MONEY,orange money cher dafa neka,WO,RECLAMATION,THIES,-0.732,NEGATIF_FORT,TARIF,2026-05-12
POST_bc64382548,SENELEC,senelec délestage tous les ras bol,FR,FACEBOOK,DAKAR,-0.798,NEGATIF_FORT,AUTRE,2026-05-07
POST_dd2cd46b77,SEN_EAU,sen eau problem dafa neka,WO,FACEBOOK,THIES,-0.651,NEGATIF_FORT,AUTRE,2026-05-08
POST_35326cf5e2,WAVE,wave rapide meilleur service mobile money sénégal,FR,TWITTER,SAINT_LOUIS,0.662,POSITIF,POSITIF,2026-05-28
POST_c796e494f8,SEN_EAU,sen eau service client attente interminable,FR,WHATSAPP,KAOLACK,-0.085,NEGATIF,SERVICE_CLIENT,2026-05-13
POST_656ac2c9dc,WAVE,wave dafa duma gënn xaalis,WO,FACEBOOK,SAINT_LOUIS,-0.943,NEGATIF_FORT,TECHNIQUE,2026-05-11
POST_aa097463cb,FREE_MONEY,free money lent par rapport améliorer,FR,FACEBOOK,THIES,-0.505,NEGATIF_FORT,TECHNIQUE,2026-05-30
POST_8e04cb5450,SENELEC,senelec problem dafa metti,WO,WHATSAPP,SAINT_LOUIS,-0.767,NEGATIF_FORT,AUTRE,2026-05-02
POST_cbee5aca51,FREE_MONEY,compte free money bloqué sans explication support,FR,RECLAMATION,KAOLACK,-0.602,NEGATIF_FORT,TECHNIQUE,2026-05-19
POST_c464467502,SEN_EAU,sen eau service client attente interminable,FR,FACEBOOK,DAKAR,-0.077,NEGATIF,SERVICE_CLIENT,2026-05-10
POST_ba5826cb52,FREE_MONEY,compte free money bloqué sans explication support,FR,WHATSAPP,KAOLACK,-0.718,NEGATIF_FORT,TECHNIQUE,2026-05-17
POST_1317faeb81,ORANGE_MONEY,remboursement orange money jamais reçu après semaines,FR,WHATSAPP,SAINT_LOUIS,-0.579,NEGATIF_FORT,AUTRE,2026-05-19
POST_fb77b967a9,WAVE,transaction wave argent débité sans confirmation,FR,WHATSAPP,DAKAR,-0.04,NEGATIF,AUTRE,2026-05-15
POST_bc381c27bb,SEN_EAU,est revenue après sen eau enfin réactif,FR,WHATSAPP,DAKAR,-0.063,NEGATIF,AUTRE,2026-05-24
POST_57ab367c1a,SEN_EAU,sen eau service client attente interminable,FR,FACEBOOK,KAOLACK,-0.079,NEGATIF,SERVICE_CLIENT,2026-05-01
POST_4df4cce056,TER,ter bondé aux heures prévoir extension nécessaire,FR,TWITTER,DAKAR,0.085,NEUTRE,AUTRE,2026-05-12
POST_9de7aa6ac0,FREE_MONEY,free money problem duma gënn,WO,FACEBOOK,THIES,-0.664,NEGATIF_FORT,AUTRE,2026-05-29
POST_b7203427a5,SEN_EAU,facture sen eau anormalement élevée,FR,RECLAMATION,SAINT_LOUIS,0.047,NEUTRE,AUTRE,2026-05-29
POST_a733d2c38d,SENELEC,coupure senelec depuis quand que revient,FR,TWITTER,KAOLACK,-0.056,NEGATIF,AUTRE,2026-05-10
POST_a576874820,SENELEC,senelec délestage tous les ras bol,FR,TWITTER,THIES,-0.725,NEGATIF_FORT,AUTRE,2026-05-10
POST_1055e33d7a,ORANGE_MONEY,orange money dafa problem nekkul,WO,WHATSAPP,SAINT_LOUIS,-0.812,NEGATIF_FORT,TECHNIQUE,2026-05-21
POST_1c6ec6b9ed,ORANGE_MONEY,orange money compte bloqué sans scandaleux,FR,RECLAMATION,KAOLACK,-0.736,NEGATIF_FORT,TECHNIQUE,2026-05-07
POST_5a64179875,TER,ter pratique rapide entre dakar top,FR,TWITTER,SAINT_LOUIS,0.847,POSITIF,POSITIF,2026-05-17
POST_07ac6c7061,SENELEC,facture senelec frais anormaux mois,FR,FACEBOOK,SAINT_LOUIS,-0.09,NEGATIF,TARIF,2026-05-07
POST_6e250221a4,SEN_EAU,pas depuis jours sen eau répond pas,FR,FACEBOOK,KAOLACK,-0.078,NEGATIF,AUTRE,2026-05-13
POST_105f09f12b,SEN_EAU,sen eau problem dafa neka,WO,RECLAMATION,THIES,-0.672,NEGATIF_FORT,AUTRE,2026-05-08
POST_f18311c170,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,WHATSAPP,DAKAR,0.8,POSITIF,POSITIF,2026-05-17
POST_544c84739b,SEN_EAU,pas depuis jours sen eau répond pas,FR,RECLAMATION,THIES,0.085,NEUTRE,AUTRE,2026-05-21
POST_85970ca4ee,WAVE,frais wave trop cher orange money moins cher,FR,FACEBOOK,KAOLACK,-0.761,NEGATIF_FORT,TARIF,2026-05-01
POST_349da82639,FREE_MONEY,compte free money bloqué sans explication support,FR,FACEBOOK,KAOLACK,-0.663,NEGATIF_FORT,TECHNIQUE,2026-05-03
POST_8cd0dbbc3c,TER,ter retard encore infos temps réel impossible,FR,RECLAMATION,KAOLACK,-0.687,NEGATIF_FORT,AUTRE,2026-05-11
POST_70faffd5aa,TER,ter bondé aux heures prévoir extension nécessaire,FR,WHATSAPP,KAOLACK,0.043,NEUTRE,AUTRE,2026-05-07
